command_text,intent_label,source,annotation_method
navigate to the nearest gas station,navigation,synthetic_in_car_commands,manual_rule_based_seed
take me home,navigation,synthetic_in_car_commands,manual_rule_based_seed
start navigation to work,navigation,synthetic_in_car_commands,manual_rule_based_seed
find the closest coffee shop,navigation,synthetic_in_car_commands,manual_rule_based_seed
directions to the airport,navigation,synthetic_in_car_commands,manual_rule_based_seed
route me to downtown,navigation,synthetic_in_car_commands,manual_rule_based_seed
show me the way to the grocery store,navigation,synthetic_in_car_commands,manual_rule_based_seed
navigate to the nearest hospital,navigation,synthetic_in_car_commands,manual_rule_based_seed
find parking near me,navigation,synthetic_in_car_commands,manual_rule_based_seed
take me to the closest charging station,navigation,synthetic_in_car_commands,manual_rule_based_seed
start route guidance,navigation,synthetic_in_car_commands,manual_rule_based_seed
show directions to my office,navigation,synthetic_in_car_commands,manual_rule_based_seed
navigate to the hotel,navigation,synthetic_in_car_commands,manual_rule_based_seed
find the nearest restaurant,navigation,synthetic_in_car_commands,manual_rule_based_seed
take me to the mall,navigation,synthetic_in_car_commands,manual_rule_based_seed
route to the train station,navigation,synthetic_in_car_commands,manual_rule_based_seed
directions to the nearest pharmacy,navigation,synthetic_in_car_commands,manual_rule_based_seed
navigate to my saved home address,navigation,synthetic_in_car_commands,manual_rule_based_seed
find a gas station on this route,navigation,synthetic_in_car_commands,manual_rule_based_seed
take me to the nearest bank,navigation,synthetic_in_car_commands,manual_rule_based_seed
play some music,play_music,synthetic_in_car_commands,manual_rule_based_seed
play my driving playlist,play_music,synthetic_in_car_commands,manual_rule_based_seed
start the next song,play_music,synthetic_in_car_commands,manual_rule_based_seed
play relaxing music,play_music,synthetic_in_car_commands,manual_rule_based_seed
resume music,play_music,synthetic_in_car_commands,manual_rule_based_seed
play my favorite songs,play_music,synthetic_in_car_commands,manual_rule_based_seed
start spotify,play_music,synthetic_in_car_commands,manual_rule_based_seed
play something upbeat,play_music,synthetic_in_car_commands,manual_rule_based_seed
play the previous track,play_music,synthetic_in_car_commands,manual_rule_based_seed
skip this song,play_music,synthetic_in_car_commands,manual_rule_based_seed
pause the music,play_music,synthetic_in_car_commands,manual_rule_based_seed
turn up the music,play_music,synthetic_in_car_commands,manual_rule_based_seed
play rock music,play_music,synthetic_in_car_commands,manual_rule_based_seed
play pop songs,play_music,synthetic_in_car_commands,manual_rule_based_seed
shuffle my playlist,play_music,synthetic_in_car_commands,manual_rule_based_seed
play songs by taylor swift,play_music,synthetic_in_car_commands,manual_rule_based_seed
start apple music,play_music,synthetic_in_car_commands,manual_rule_based_seed
play workout music,play_music,synthetic_in_car_commands,manual_rule_based_seed
play the latest album,play_music,synthetic_in_car_commands,manual_rule_based_seed
continue the song,play_music,synthetic_in_car_commands,manual_rule_based_seed
call mom,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call dad,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call john,call_contact,synthetic_in_car_commands,manual_rule_based_seed
dial my manager,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call my office,call_contact,synthetic_in_car_commands,manual_rule_based_seed
