audio_id,mfcc_path,mel_spectrogram_path,pitch_path,tempo_path,sample_rate,duration_seconds,mfcc_shape,mel_spectrogram_shape,pitch_shape,tempo_shape,feature_format
librispeech_0000,data\features\audio_npy\librispeech_0000_mfcc.npy,data\features\audio_npy\librispeech_0000_mel_spectrogram.npy,data\features\audio_npy\librispeech_0000_pitch.npy,data\features\audio_npy\librispeech_0000_tempo.npy,16000,6.59,"(13, 206)","(128, 206)","(201,)","(1,)",npy
librispeech_0001,data\features\audio_npy\librispeech_0001_mfcc.npy,data\features\audio_npy\librispeech_0001_mel_spectrogram.npy,data\features\audio_npy\librispeech_0001_pitch.npy,data\features\audio_npy\librispeech_0001_tempo.npy,16000,7.145,"(13, 224)","(128, 224)","(222,)","(1,)",npy
librispeech_0002,data\features\audio_npy\librispeech_0002_mfcc.npy,data\features\audio_npy\librispeech_0002_mel_spectrogram.npy,data\features\audio_npy\librispeech_0002_pitch.npy,data\features\audio_npy\librispeech_0002_tempo.npy,16000,4.835,"(13, 152)","(128, 152)","(150,)","(1,)",npy
librispeech_0003,data\features\audio_npy\librispeech_0003_mfcc.npy,data\features\audio_npy\librispeech_0003_mel_spectrogram.npy,data\features\audio_npy\librispeech_0003_pitch.npy,data\features\audio_npy\librispeech_0003_tempo.npy,16000,2.84,"(13, 89)","(128, 89)","(87,)","(1,)",npy
librispeech_0004,data\features\audio_npy\librispeech_0004_mfcc.npy,data\features\audio_npy\librispeech_0004_mel_spectrogram.npy,data\features\audio_npy\librispeech_0004_pitch.npy,data\features\audio_npy\librispeech_0004_tempo.npy,16000,1.955,"(13, 62)","(128, 62)","(62,)","(1,)",npy
librispeech_0005,data\features\audio_npy\librispeech_0005_mfcc.npy,data\features\audio_npy\librispeech_0005_mel_spectrogram.npy,data\features\audio_npy\librispeech_0005_pitch.npy,data\features\audio_npy\librispeech_0005_tempo.npy,16000,5.6,"(13, 176)","(128, 176)","(169,)","(1,)",npy
librispeech_0006,data\features\audio_npy\librispeech_0006_mfcc.npy,data\features\audio_npy\librispeech_0006_mel_spectrogram.npy,data\features\audio_npy\librispeech_0006_pitch.npy,data\features\audio_npy\librispeech_0006_tempo.npy,16000,4.97,"(13, 156)","(128, 156)","(147,)","(1,)",npy
librispeech_0007,data\features\audio_npy\librispeech_0007_mfcc.npy,data\features\audio_npy\librispeech_0007_mel_spectrogram.npy,data\features\audio_npy\librispeech_0007_pitch.npy,data\features\audio_npy\librispeech_0007_tempo.npy,16000,5.375,"(13, 168)","(128, 168)","(167,)","(1,)",npy
librispeech_0008,data\features\audio_npy\librispeech_0008_mfcc.npy,data\features\audio_npy\librispeech_0008_mel_spectrogram.npy,data\features\audio_npy\librispeech_0008_pitch.npy,data\features\audio_npy\librispeech_0008_tempo.npy,16000,6.94,"(13, 217)","(128, 217)","(212,)","(1,)",npy
librispeech_0009,data\features\audio_npy\librispeech_0009_mfcc.npy,data\features\audio_npy\librispeech_0009_mel_spectrogram.npy,data\features\audio_npy\librispeech_0009_pitch.npy,data\features\audio_npy\librispeech_0009_tempo.npy,16000,5.815,"(13, 182)","(128, 182)","(174,)","(1,)",npy
librispeech_0010,data\features\audio_npy\librispeech_0010_mfcc.npy,data\features\audio_npy\librispeech_0010_mel_spectrogram.npy,data\features\audio_npy\librispeech_0010_pitch.npy,data\features\audio_npy\librispeech_0010_tempo.npy,16000,5.275,"(13, 165)","(128, 165)","(159,)","(1,)",npy
librispeech_0011,data\features\audio_npy\librispeech_0011_mfcc.npy,data\features\audio_npy\librispeech_0011_mel_spectrogram.npy,data\features\audio_npy\librispeech_0011_pitch.npy,data\features\audio_npy\librispeech_0011_tempo.npy,16000,4.465,"(13, 140)","(128, 140)","(138,)","(1,)",npy
