record_id,audio_id,speaker_hash,duration_seconds,duration_bucket,synthetic_time_of_day,speaker_gender,sample_rate,word_count,word_rate,has_transcript
librispeech_0000,librispeech_0000,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,6.59,medium,morning,unknown,16000,22,3.338,True
librispeech_0001,librispeech_0001,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,7.145,long,afternoon,unknown,16000,26,3.639,True
librispeech_0002,librispeech_0002,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.835,medium,evening,unknown,16000,12,2.482,True
librispeech_0003,librispeech_0003,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,2.84,short,night,unknown,16000,7,2.465,True
librispeech_0004,librispeech_0004,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,1.955,short,morning,unknown,16000,7,3.581,True
librispeech_0005,librispeech_0005,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,5.6,medium,afternoon,unknown,16000,15,2.679,True
librispeech_0006,librispeech_0006,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.97,medium,evening,unknown,16000,14,2.817,True
librispeech_0007,librispeech_0007,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,5.375,medium,night,unknown,16000,23,4.279,True
librispeech_0008,librispeech_0008,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,6.94,medium,morning,unknown,16000,26,3.746,True
librispeech_0009,librispeech_0009,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,5.815,medium,afternoon,unknown,16000,20,3.439,True
librispeech_0010,librispeech_0010,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,5.275,medium,evening,unknown,16000,19,3.602,True
librispeech_0011,librispeech_0011,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.465,medium,night,unknown,16000,14,3.135,True
librispeech_0012,librispeech_0012,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,2.495,short,morning,unknown,16000,10,4.008,True
librispeech_0013,librispeech_0013,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,6.09,medium,afternoon,unknown,16000,24,3.941,True
librispeech_0014,librispeech_0014,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.07,medium,evening,unknown,16000,14,3.44,True
librispeech_0015,librispeech_0015,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.675,medium,night,unknown,16000,13,3.537,True
librispeech_0016,librispeech_0016,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,2.785,short,morning,unknown,16000,8,2.873,True
librispeech_0017,librispeech_0017,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.985,medium,afternoon,unknown,16000,19,3.811,True
librispeech_0018,librispeech_0018,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.545,medium,evening,unknown,16000,15,3.3,True
librispeech_0019,librispeech_0019,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.56,medium,night,unknown,16000,13,3.652,True
librispeech_0020,librispeech_0020,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,5.285,medium,morning,unknown,16000,17,3.217,True
librispeech_0021,librispeech_0021,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.37,medium,afternoon,unknown,16000,9,2.671,True
librispeech_0022,librispeech_0022,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.38,medium,evening,unknown,16000,7,2.071,True
librispeech_0023,librispeech_0023,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.89,medium,night,unknown,16000,15,3.856,True
librispeech_0024,librispeech_0024,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.5,medium,morning,unknown,16000,20,4.444,True
librispeech_0025,librispeech_0025,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.4,medium,afternoon,unknown,16000,13,3.824,True
librispeech_0026,librispeech_0026,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.92,medium,evening,unknown,16000,15,3.049,True
librispeech_0027,librispeech_0027,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.595,medium,night,unknown,16000,11,3.06,True
librispeech_0028,librispeech_0028,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,2.9,short,morning,unknown,16000,11,3.793,True
librispeech_0029,librispeech_0029,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,2.6,short,afternoon,unknown,16000,8,3.077,True
librispeech_0030,librispeech_0030,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,6.3,medium,evening,unknown,16000,26,4.127,True
librispeech_0031,librispeech_0031,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,3.61,medium,night,unknown,16000,12,3.324,True
librispeech_0032,librispeech_0032,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,10.77,long,morning,unknown,16000,36,3.343,True
librispeech_0033,librispeech_0033,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,2.845,short,afternoon,unknown,16000,7,2.46,True
librispeech_0034,librispeech_0034,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.005,medium,evening,unknown,16000,9,2.247,True
librispeech_0035,librispeech_0035,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,4.395,medium,night,unknown,16000,16,3.641,True
librispeech_0036,librispeech_0036,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,2.755,short,morning,unknown,16000,10,3.63,True
librispeech_0037,librispeech_0037,0f6aa7d3274f3f6e808fca36c939363728fe77071a1d0fba5cb8b5d3a91a960f,6.54,medium,afternoon,unknown,16000,27,4.128,True
