audio_id,audio_path,transcript,sample_rate,source,split
librispeech_0000,data\raw\librispeech_sample\librispeech_0000.wav,HE WAS IN A FEVERED STATE OF MIND OWING TO THE BLIGHT HIS WIFE'S ACTION THREATENED TO CAST UPON HIS ENTIRE FUTURE,16000,LibriSpeech dev-clean,validation
librispeech_0001,data\raw\librispeech_sample\librispeech_0001.wav,HE WOULD HAVE TO PAY HER THE MONEY WHICH SHE WOULD NOW REGULARLY DEMAND OR THERE WOULD BE TROUBLE IT DID NOT MATTER WHAT HE DID,16000,LibriSpeech dev-clean,validation
librispeech_0002,data\raw\librispeech_sample\librispeech_0002.wav,HURSTWOOD WALKED THE FLOOR MENTALLY ARRANGING THE CHIEF POINTS OF HIS SITUATION,16000,LibriSpeech dev-clean,validation
librispeech_0003,data\raw\librispeech_sample\librispeech_0003.wav,HE ALSO THOUGHT OF HIS MANAGERIAL POSITION,16000,LibriSpeech dev-clean,validation
librispeech_0004,data\raw\librispeech_sample\librispeech_0004.wav,HOW WOULD THE PAPERS TALK ABOUT IT,16000,LibriSpeech dev-clean,validation
librispeech_0005,data\raw\librispeech_sample\librispeech_0005.wav,MANY LITTLE WRINKLES GATHERED BETWEEN HIS EYES AS HE CONTEMPLATED THIS AND HIS BROW MOISTENED,16000,LibriSpeech dev-clean,validation
librispeech_0006,data\raw\librispeech_sample\librispeech_0006.wav,HE COULD ARRANGE THAT SATISFACTORILY FOR CARRIE WOULD BE GLAD TO WAIT IF NECESSARY,16000,LibriSpeech dev-clean,validation
librispeech_0007,data\raw\librispeech_sample\librispeech_0007.wav,HE WOULD SEE HOW THINGS TURNED OUT TO MORROW AND THEN HE WOULD TALK TO HER THEY WERE GOING TO MEET AS USUAL,16000,LibriSpeech dev-clean,validation
librispeech_0008,data\raw\librispeech_sample\librispeech_0008.wav,FOR SOME REASON HE FELT AS IF SOMETHING MIGHT COME THAT WAY AND WAS RELIEVED WHEN ALL THE ENVELOPES HAD BEEN SCANNED AND NOTHING SUSPICIOUS NOTICED,16000,LibriSpeech dev-clean,validation
librispeech_0009,data\raw\librispeech_sample\librispeech_0009.wav,WHILE THE DANGER HAD NOT LESSENED IT HAD NOT AS YET MATERIALISED AND WITH HIM NO NEWS WAS GOOD NEWS,16000,LibriSpeech dev-clean,validation
librispeech_0010,data\raw\librispeech_sample\librispeech_0010.wav,SO LITTLE DID HE CONSIDER DROUET THAT IT NEVER ONCE OCCURRED TO HIM TO WORRY ABOUT HIS FINDING OUT,16000,LibriSpeech dev-clean,validation
librispeech_0011,data\raw\librispeech_sample\librispeech_0011.wav,HE GREW RESTLESS AS HE RUMINATED AND THEN DECIDED THAT PERHAPS IT WAS NOTHING,16000,LibriSpeech dev-clean,validation
librispeech_0012,data\raw\librispeech_sample\librispeech_0012.wav,SHE HAD NOT BEEN ABLE TO GET AWAY THIS MORNING,16000,LibriSpeech dev-clean,validation
librispeech_0013,data\raw\librispeech_sample\librispeech_0013.wav,HE WOULD GET ONE TO DAY IT WOULD PROBABLY BE ON HIS DESK WHEN HE GOT BACK HE WOULD LOOK FOR IT AT ONCE,16000,LibriSpeech dev-clean,validation
librispeech_0014,data\raw\librispeech_sample\librispeech_0014.wav,AFTER A TIME HE GAVE UP WAITING AND DREARILY HEADED FOR THE MADISON CAR,16000,LibriSpeech dev-clean,validation
librispeech_0015,data\raw\librispeech_sample\librispeech_0015.wav,HE WENT IN AND EXAMINED HIS LETTERS BUT THERE WAS NOTHING FROM CARRIE,16000,LibriSpeech dev-clean,validation
librispeech_0016,data\raw\librispeech_sample\librispeech_0016.wav,FORTUNATELY THERE WAS NOTHING FROM HIS WIFE EITHER,16000,LibriSpeech dev-clean,validation
librispeech_0017,data\raw\librispeech_sample\librispeech_0017.wav,AT ONE THIRTY HE WENT TO RECTOR'S FOR LUNCH AND WHEN HE RETURNED A MESSENGER WAS WAITING FOR HIM,16000,LibriSpeech dev-clean,validation
librispeech_0018,data\raw\librispeech_sample\librispeech_0018.wav,HIS FIRST IMPULSE WAS TO WRITE BUT FOUR WORDS IN REPLY GO TO THE DEVIL,16000,LibriSpeech dev-clean,validation
librispeech_0019,data\raw\librispeech_sample\librispeech_0019.wav,BUT HE COMPROMISED BY TELLING THE BOY THAT THERE WOULD BE NO REPLY,16000,LibriSpeech dev-clean,validation
librispeech_0020,data\raw\librispeech_sample\librispeech_0020.wav,THEN HE SAT DOWN IN HIS CHAIR AND GAZED WITHOUT SEEING CONTEMPLATING THE RESULT OF HIS WORK,16000,LibriSpeech dev-clean,validation
librispeech_0021,data\raw\librispeech_sample\librispeech_0021.wav,WHAT WOULD SHE DO ABOUT THAT THE CONFOUNDED WRETCH,16000,LibriSpeech dev-clean,validation
librispeech_0022,data\raw\librispeech_sample\librispeech_0022.wav,LATER HOWEVER HIS OLD DISCRETION ASSERTED ITSELF,16000,LibriSpeech dev-clean,validation
librispeech_0023,data\raw\librispeech_sample\librispeech_0023.wav,SOMETHING HAD TO BE DONE A CLIMAX WAS NEAR AND SHE WOULD NOT SIT IDLE,16000,LibriSpeech dev-clean,validation
librispeech_0024,data\raw\librispeech_sample\librispeech_0024.wav,HE KNEW HER WELL ENOUGH TO KNOW THAT WHEN SHE HAD DECIDED UPON A PLAN SHE WOULD FOLLOW IT UP,16000,LibriSpeech dev-clean,validation
librispeech_0025,data\raw\librispeech_sample\librispeech_0025.wav,HE AROSE FROM HIS CHAIR AND WENT AND LOOKED OUT INTO THE STREET,16000,LibriSpeech dev-clean,validation
librispeech_0026,data\raw\librispeech_sample\librispeech_0026.wav,THE LONG DRIZZLE HAD BEGUN PEDESTRIANS HAD TURNED UP COLLARS AND TROUSERS AT THE BOTTOM,16000,LibriSpeech dev-clean,validation
librispeech_0027,data\raw\librispeech_sample\librispeech_0027.wav,HURSTWOOD ALMOST EXCLAIMED OUT LOUD AT THE INSISTENCY OF THIS THING,16000,LibriSpeech dev-clean,validation
librispeech_0028,data\raw\librispeech_sample\librispeech_0028.wav,HE PUT ON HIS HAT AND LOOKED AROUND FOR HIS UMBRELLA,16000,LibriSpeech dev-clean,validation
librispeech_0029,data\raw\librispeech_sample\librispeech_0029.wav,HE WOULD HAVE SOME ARRANGEMENT OF THIS THING,16000,LibriSpeech dev-clean,validation
librispeech_0030,data\raw\librispeech_sample\librispeech_0030.wav,HE BEGAN TO WISH THAT HE HAD COMPROMISED IN SOME WAY OR OTHER THAT HE HAD SENT THE MONEY PERHAPS HE COULD DO IT UP HERE,16000,LibriSpeech dev-clean,validation
librispeech_0031,data\raw\librispeech_sample\librispeech_0031.wav,HE WOULD GO IN AND SEE ANYHOW HE WOULD HAVE NO ROW,16000,LibriSpeech dev-clean,validation
librispeech_0032,data\raw\librispeech_sample\librispeech_0032.wav,BY THE TIME HE REACHED HIS OWN STREET HE WAS KEENLY ALIVE TO THE DIFFICULTIES OF HIS SITUATION AND WISHED OVER AND OVER THAT SOME SOLUTION WOULD OFFER ITSELF THAT HE COULD SEE HIS WAY OUT,16000,LibriSpeech dev-clean,validation
librispeech_0033,data\raw\librispeech_sample\librispeech_0033.wav,THEN HE RANG THE BELL NO ANSWER,16000,LibriSpeech dev-clean,validation
librispeech_0034,data\raw\librispeech_sample\librispeech_0034.wav,HE RANG AGAIN THIS TIME HARDER STILL NO ANSWER,16000,LibriSpeech dev-clean,validation
librispeech_0035,data\raw\librispeech_sample\librispeech_0035.wav,WHEN HURSTWOOD GOT BACK TO HIS OFFICE AGAIN HE WAS IN A GREATER QUANDARY THAN EVER,16000,LibriSpeech dev-clean,validation
librispeech_0036,data\raw\librispeech_sample\librispeech_0036.wav,HE COULD HARDLY REALISE HOW IT HAD ALL COME ABOUT,16000,LibriSpeech dev-clean,validation
librispeech_0037,data\raw\librispeech_sample\librispeech_0037.wav,NO LETTER HAD COME NO WORD OF ANY KIND AND YET HERE IT WAS LATE IN THE EVENING AND SHE HAD AGREED TO MEET HIM THAT MORNING,16000,LibriSpeech dev-clean,validation
librispeech_0038,data\raw\librispeech_sample\librispeech_0038.wav,HE SAW THAT IN THE EXCITEMENT OF RECENT EVENTS HE HAD NOT FORMULATED A PLAN UPON THAT SCORE,16000,LibriSpeech dev-clean,validation
librispeech_0039,data\raw\librispeech_sample\librispeech_0039.wav,HE WAS GETTING SOME VAGUE COMFORT OUT OF A GOOD CIGAR BUT IT WAS NO PANACEA FOR THE ILL WHICH AFFECTED HIM,16000,LibriSpeech dev-clean,validation
librispeech_0040,data\raw\librispeech_sample\librispeech_0040.wav,IT WAS WITH GREAT OPPOSITION AFTER TWO OR THREE HOURS OF THE MOST URGENT MENTAL AFFIRMATION AND DENIAL THAT AT LAST HE GOT AN ENVELOPE PLACED IN IT THE REQUESTED AMOUNT AND SLOWLY SEALED IT UP,16000,LibriSpeech dev-clean,validation
librispeech_0041,data\raw\librispeech_sample\librispeech_0041.wav,THEN HE CALLED HARRY THE BOY OF ALL WORK AROUND THE PLACE,16000,LibriSpeech dev-clean,validation
librispeech_0042,data\raw\librispeech_sample\librispeech_0042.wav,YOU TAKE THIS TO THIS ADDRESS HE SAID HANDING HIM THE ENVELOPE AND GIVE IT TO MISSUS HURSTWOOD YES SIR SAID THE BOY,16000,LibriSpeech dev-clean,validation
librispeech_0043,data\raw\librispeech_sample\librispeech_0043.wav,ANY ANSWER I GUESS NOT,16000,LibriSpeech dev-clean,validation
librispeech_0044,data\raw\librispeech_sample\librispeech_0044.wav,THE BOY HASTENED AWAY AND THE MANAGER FELL TO HIS MUSINGS,16000,LibriSpeech dev-clean,validation
librispeech_0045,data\raw\librispeech_sample\librispeech_0045.wav,HE WAS BEATEN FOR TO NIGHT AND HE MIGHT JUST AS WELL MAKE THE BEST OF IT,16000,LibriSpeech dev-clean,validation
librispeech_0046,data\raw\librispeech_sample\librispeech_0046.wav,SHE WOULD TAKE THE ENVELOPE AND KNOW THAT SHE HAD TRIUMPHED,16000,LibriSpeech dev-clean,validation
librispeech_0047,data\raw\librispeech_sample\librispeech_0047.wav,IF HE ONLY HAD THAT LETTER BACK HE WOULDN'T SEND IT,16000,LibriSpeech dev-clean,validation
librispeech_0048,data\raw\librispeech_sample\librispeech_0048.wav,FOR RELIEF HE AROSE AND JOINED IN CONVERSATION WITH A FEW FRIENDS WHO WERE DRINKING,16000,LibriSpeech dev-clean,validation
librispeech_0049,data\raw\librispeech_sample\librispeech_0049.wav,ALL THE TIME HIS THOUGHTS WOULD RUN OUT TO HIS HOME AND SEE THE SCENE BEING THEREIN ENACTED,16000,LibriSpeech dev-clean,validation
librispeech_0050,data\raw\librispeech_sample\librispeech_0050.wav,IN ABOUT AN HOUR AND THREE QUARTERS THE BOY RETURNED,16000,LibriSpeech dev-clean,validation
librispeech_0051,data\raw\librispeech_sample\librispeech_0051.wav,HE FANCIED AS HE SAT AT HIS DESK THAT NOTHING WOULD BE DONE FOR A WEEK OR TWO MEANWHILE HE WOULD HAVE TIME TO THINK,16000,LibriSpeech dev-clean,validation
librispeech_0052,data\raw\librispeech_sample\librispeech_0052.wav,HOW ABOUT THAT NOW HIS PAIN AT HER FAILURE TO MEET OR WRITE HIM RAPIDLY INCREASED AS HE DEVOTED HIMSELF TO THIS SUBJECT,16000,LibriSpeech dev-clean,validation
librispeech_0053,data\raw\librispeech_sample\librispeech_0053.wav,HE DECIDED TO WRITE HER CARE OF THE WEST SIDE POST OFFICE AND ASK FOR AN EXPLANATION AS WELL AS TO HAVE HER MEET HIM,16000,LibriSpeech dev-clean,validation
librispeech_0054,data\raw\librispeech_sample\librispeech_0054.wav,THREE O'CLOCK CAME FOUR FIVE SIX AND NO LETTER,16000,LibriSpeech dev-clean,validation
librispeech_0055,data\raw\librispeech_sample\librispeech_0055.wav,THE HELPLESS MANAGER PACED THE FLOOR AND GRIMLY ENDURED THE GLOOM OF DEFEAT,16000,LibriSpeech dev-clean,validation
librispeech_0056,data\raw\librispeech_sample\librispeech_0056.wav,HE SAW A BUSY SATURDAY USHERED OUT THE SABBATH IN AND NOTHING DONE,16000,LibriSpeech dev-clean,validation
librispeech_0057,data\raw\librispeech_sample\librispeech_0057.wav,ALL DAY THE BAR BEING CLOSED HE BROODED ALONE SHUT OUT FROM HOME FROM THE EXCITEMENT OF HIS RESORT FROM CARRIE AND WITHOUT THE ABILITY TO ALTER HIS CONDITION ONE IOTA,16000,LibriSpeech dev-clean,validation
librispeech_0058,data\raw\librispeech_sample\librispeech_0058.wav,IT WAS THE WORST SUNDAY HE HAD SPENT IN HIS LIFE,16000,LibriSpeech dev-clean,validation
librispeech_0059,data\raw\librispeech_sample\librispeech_0059.wav,IT SEEMED AS IF HIS FAMILY TROUBLES WERE JUST BEGINNING,16000,LibriSpeech dev-clean,validation
librispeech_0060,data\raw\librispeech_sample\librispeech_0060.wav,HE WAS QUITE CERTAIN NOW THAT SHE KNEW HE WAS MARRIED AND WAS ANGERED AT HIS PERFIDY,16000,LibriSpeech dev-clean,validation
librispeech_0061,data\raw\librispeech_sample\librispeech_0061.wav,HE HAD LOVED HER EARNESTLY ENOUGH BUT NOW THAT THE POSSIBILITY OF LOSING HER STARED HIM IN THE FACE SHE SEEMED MUCH MORE ATTRACTIVE,16000,LibriSpeech dev-clean,validation
librispeech_0062,data\raw\librispeech_sample\librispeech_0062.wav,HE WOULD GO TO HER AND TELL HER ALL HIS FAMILY COMPLICATIONS,16000,LibriSpeech dev-clean,validation
librispeech_0063,data\raw\librispeech_sample\librispeech_0063.wav,HE WOULD EXPLAIN TO HER JUST WHERE HE STOOD AND HOW MUCH HE NEEDED HER,16000,LibriSpeech dev-clean,validation
librispeech_0064,data\raw\librispeech_sample\librispeech_0064.wav,HE DID MANAGE TO BRING HIMSELF INTO THE MOOD TO GO OUT TO CARRIE BUT WHEN HE GOT IN OGDEN PLACE HE THOUGHT HE SAW A MAN WATCHING HIM AND WENT AWAY,16000,LibriSpeech dev-clean,validation
librispeech_0065,data\raw\librispeech_sample\librispeech_0065.wav,HE DID NOT GO WITHIN A BLOCK OF THE HOUSE,16000,LibriSpeech dev-clean,validation
librispeech_0066,data\raw\librispeech_sample\librispeech_0066.wav,HE TROUBLED OVER MANY LITTLE DETAILS AND TALKED PERFUNCTORILY TO EVERYBODY,16000,LibriSpeech dev-clean,validation
librispeech_0067,data\raw\librispeech_sample\librispeech_0067.wav,HE STAYED AT HIS DESK LONG AFTER ALL OTHERS HAD GONE AND ONLY QUITTED IT WHEN THE NIGHT WATCHMAN ON HIS ROUND PULLED AT THE FRONT DOOR TO SEE IF IT WAS SAFELY LOCKED,16000,LibriSpeech dev-clean,validation
librispeech_0068,data\raw\librispeech_sample\librispeech_0068.wav,ON WEDNESDAY HE RECEIVED ANOTHER POLITE NOTE FROM MC GREGOR JAMES AND HAY IT READ,16000,LibriSpeech dev-clean,validation
librispeech_0069,data\raw\librispeech_sample\librispeech_0069.wav,DEAR SIR WE BEG TO INFORM YOU THAT WE ARE INSTRUCTED TO WAIT UNTIL TO MORROW THURSDAY AT ONE O'CLOCK BEFORE FILING SUIT AGAINST YOU ON BEHALF OF MISSUS JULIA HURSTWOOD FOR DIVORCE AND ALIMONY,16000,LibriSpeech dev-clean,validation
librispeech_0070,data\raw\librispeech_sample\librispeech_0070.wav,VERY TRULY YOURS ET CETERA COMPROMISE,16000,LibriSpeech dev-clean,validation
librispeech_0071,data\raw\librispeech_sample\librispeech_0071.wav,SO HERE IT WAS SPREAD OUT CLEAR BEFORE HIM AND NOW HE KNEW WHAT TO EXPECT,16000,LibriSpeech dev-clean,validation
librispeech_0072,data\raw\librispeech_sample\librispeech_0072.wav,IF HE DIDN'T GO AND SEE THEM THEY WOULD SUE HIM PROMPTLY,16000,LibriSpeech dev-clean,validation
librispeech_0073,data\raw\librispeech_sample\librispeech_0073.wav,MINNIE'S FLAT AS THE ONE FLOOR RESIDENT APARTMENTS WERE THEN BEING CALLED WAS IN A PART OF WEST VAN BUREN STREET INHABITED BY FAMILIES OF LABOURERS AND CLERKS MEN WHO HAD COME AND WERE STILL COMING WITH THE RUSH OF POPULATION POURING IN AT THE RATE OF FIFTY THOUSAND A YEAR,16000,LibriSpeech dev-clean,validation
librispeech_0074,data\raw\librispeech_sample\librispeech_0074.wav,TO CARRIE THE SOUND OF THE LITTLE BELLS UPON THE HORSE CARS AS THEY TINKLED IN AND OUT OF HEARING WAS AS PLEASING AS IT WAS NOVEL,16000,LibriSpeech dev-clean,validation
librispeech_0075,data\raw\librispeech_sample\librispeech_0075.wav,TO HIM THE PRESENCE OR ABSENCE OF HIS WIFE'S SISTER WAS A MATTER OF INDIFFERENCE,16000,LibriSpeech dev-clean,validation
librispeech_0076,data\raw\librispeech_sample\librispeech_0076.wav,HE WAS OF A CLEAN SAVING DISPOSITION AND HAD ALREADY PAID A NUMBER OF MONTHLY INSTALMENTS ON TWO LOTS FAR OUT ON THE WEST SIDE,16000,LibriSpeech dev-clean,validation
librispeech_0077,data\raw\librispeech_sample\librispeech_0077.wav,HIS AMBITION WAS SOME DAY TO BUILD A HOUSE ON THEM,16000,LibriSpeech dev-clean,validation
librispeech_0078,data\raw\librispeech_sample\librispeech_0078.wav,SHE HAD SOME SLIGHT GIFT OF OBSERVATION AND THAT SENSE SO RICH IN EVERY WOMAN INTUITION,16000,LibriSpeech dev-clean,validation
librispeech_0079,data\raw\librispeech_sample\librispeech_0079.wav,THE WALLS OF THE ROOMS WERE DISCORDANTLY PAPERED,16000,LibriSpeech dev-clean,validation
librispeech_0080,data\raw\librispeech_sample\librispeech_0080.wav,THE FLOORS WERE COVERED WITH MATTING AND THE HALL LAID WITH A THIN RAG CARPET,16000,LibriSpeech dev-clean,validation
librispeech_0081,data\raw\librispeech_sample\librispeech_0081.wav,THEN SHE WALKED AND SANG TO IT UNTIL HANSON DISTURBED IN HIS READING CAME AND TOOK IT,16000,LibriSpeech dev-clean,validation
librispeech_0082,data\raw\librispeech_sample\librispeech_0082.wav,ONE COULD SEE THAT HE WAS VERY MUCH WRAPPED UP IN HIS OFFSPRING,16000,LibriSpeech dev-clean,validation
librispeech_0083,data\raw\librispeech_sample\librispeech_0083.wav,NOW NOW HE SAID WALKING THERE THERE AND THERE WAS A CERTAIN SWEDISH ACCENT NOTICEABLE IN HIS VOICE,16000,LibriSpeech dev-clean,validation
